Generation,Strain,Median_B2A_Singlets,Median_FSCA_Singlets,MedianB2A_by_MedianFSCA,0copy_mCitrine,1copy_mCitrine,Multicopy_mCitrine
110,DGY1735_2,248182.09,2661755,0.09324002,0.48,14.01,83.86
110,DGY1741_3,628337.75,2492917,0.252049206,0.16,0.49,97.28
110,DGY500_1,84029.08,1989179.25,0.042243091,0.36,95.99,4.2
110,DGY1743_3,259324.75,2184447.75,0.118714101,0.1,2.49,97.16
110,DGY1733_3,154839.61,2722917.25,0.056865338,0.57,73.02,31.05
110,DGY1919_1,274023.28,2273706.75,0.120518303,0.39,3.04,95.89
110,DGY1315_1,168311.73,2270409.25,0.074132771,0.14,7.92,93.49
110,DGY1744_3,273993,2301696,0.119039613,0.25,3.77,95.49
110,DGY1735_3,190144.94,2582027.5,0.073641718,0.74,38.28,59.12
110,DGY1_1,1615.34,2167724.5,0.000745178,99.77,0,0.12
110,DGY1919_3,263772.81,2176572,0.121187266,1.05,6.06,92.42
